River_ID,Station,State,District LGD Code,District,Latitude,Longitude,Date,Mean_Discharge_m3_sec,Max_Discharge_m3_sec,Min_Discharge_m3_sec,Readings
397,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-06-05,18.28621052631579,25.51,13.87,95
45,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-06-06,46.45473684210526,70.76,31.12,95
137,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-06-06,116.89104166666668,153.97,10.25,96
222,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-06-06,10.046526315789473,10.71,9.26,95
307,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-06-06,8.051318681318682,14.82,5.29,91
398,Tekhla,Uttarakhand,57,Uttarkashi,30.74805556,78.45333333,2026-06-06,9.469687500000001,10.17,9.01,96
46,Karnaprayag (P),Uttarakhand,47,Chamoli,30.2525,79.22138889,2026-06-07,173.75458333333333,260.68,97.55,96
138,Koteshwar,Uttarakhand,55,Tehri Garhwal,30.26527778,78.50333333,2026-06-07,151.81147368421054,372.38,116.14,95
223,Lambagarh,Uttarakhand,47,Chamoli,30.66472222,79.5175,2026-06-07,97.19086021505376,366.62,38.29,93
308,Marchula_1,Uttarakhand,51,Nainital,29.60611111,79.09277778,2026-06-07,32.00282608695652,38.16,20.92,46
